Larvae #,Family,Genus,Species,descriptor,Speed last interval,Time last interval,rate of increase,time increment,Date,time of trial,source,Date caught,time caught,NOTES,u-crit,TL(mm)
05LARV0242,Chaetodontidae,Chaetodon,capistratus,,37.5,36,7.5,2,12-Jul-05,,cn3,12-Jul-05,600,,30.04,16.96871239
05LARV0243,Chaetodontidae,Chaetodon,capistratus,,37.5,8,7.5,2,12-Jul-05,,cn3,12-Jul-05,600,,30.00888889,17.40763322
03larv0045,Chaetodontidae,Chaetodon,capistratus,,59,19.3,4.5,2,,,liftnet,,,,55.22375,15
05LARV0106,Chaetodontidae,Chaetodon,capistratus,,37.5,33,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.03666667,16.24679917
05LARV0107,Chaetodontidae,Chaetodon,capistratus,,37.5,30,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.03333333,17.61661426
05LARV0108,Chaetodontidae,Chaetodon,capistratus,,37.5,86,7.5,2,6-Jul-05,900,lt,6-Jul-05,700,,30.09555556,19.4082397
05LARV0109,Chaetodontidae,Chaetodon,capistratus,,37.5,57,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.06333333,34.25121951
05LARV0110,Chaetodontidae,Chaetodon,capistratus,,37.5,24,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.02666667,16.81240891
05LARV0111,Chaetodontidae,Chaetodon,capistratus,,37.5,28,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.03111111,17.676666
05LARV0112,Chaetodontidae,Chaetodon,capistratus,,37.5,45,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.05,18.3638137
05LARV0113,Chaetodontidae,Chaetodon,capistratus,,37.5,66,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,30.07333333,17.29583233
05LARV0114,Chaetodontidae,Chaetodon,capistratus,,45,29,7.5,2,6-Jul-05,930,lt,6-Jul-05,700,,37.53222222,16.94547249
05LARV0117,Chaetodontidae,Chaetodon,capistratus,,36,41,4.5,2,6-Jul-05,1000,lt,6-Jul-05,700,,31.57592593,16.99337748
05LARV0219,Chaetodontidae,Chaetodon,capistratus,,37.5,40,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.04444444,16.36352941
05LARV0220,Chaetodontidae,Chaetodon,capistratus,,37.5,28,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.03111111,17.02297346
05LARV0221,Chaetodontidae,Chaetodon,capistratus,,37.5,25,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.02777778,16.38878993
05LARV0222,Chaetodontidae,Chaetodon,capistratus,,37.5,44,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.04888889,17.13889893
05LARV0223,Chaetodontidae,Chaetodon,capistratus,,37.5,44,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.04888889,16.717243
05LARV0224,Chaetodontidae,Chaetodon,capistratus,,37.5,36,7.5,2,11-Jul-05,,lt,11-Jul-05,800,,30.04,16.4480419
03larv0034,Chaetodontidae,Chaetodon ,striatus,,59,44.3,6,2,,,liftnet,,,,55.215,20
05LARV0013,Diodontidae,Chylomycterus,antennatus,,7.5,120,1.5,2,26-Jun-05,1548,cn2,26-Jun-05,9,,6.666666667,11.93429354
05LARV0271,Gerridae,,,,27,44,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,22.58148148,13.85834642
05LARV0272,Gerridae,,,,27,101,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,22.68703704,13.78714286
05LARV0273,Gerridae,,,,31.5,0,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,27,12.61328455
05LARV0150,Gerridae,,,,31.5,83,4.5,15,7-Jul-05,1100,cn1,7-Jul-05,700,,27.1537037,
05LARV0151,Gerridae,,,,31.5,75,4.5,15,7-Jul-05,1100,cn1,7-Jul-05,700,,27.13888889,
05LARV0152,Gerridae,,,,31.5,60,4.5,15,7-Jul-05,1200,cn1,7-Jul-05,700,,27.11111111,
05LARV0153,Gerridae,,,,31.5,34,4.5,15,7-Jul-05,1200,cn1,7-Jul-05,700,,27.06296296,
05LARV0154,Gerridae,,,,31.5,41,4.5,15,7-Jul-05,1200,cn1,7-Jul-05,700,,27.07592593,
05LARV0084,Gerridae,,,same as 85,31.5,10,4.5,2,5-Jul-05,926,cn3,5-Jul-05,630,,27.01851852,17.92367715
05LARV0085,Gerridae,,,same as 84,31.5,0,4.5,2,5-Jul-05,926,cn3,5-Jul-05,630,,27,17.82917721
05LARV0089,Gerridae,,,same as 85?,36,2,4.5,2,5-Jul-05,953,cn3,5-Jul-05,630,,31.5037037,19.43327239
03larv0008,Gerridae,,,,41,7.74,3,2,,,liftnet,,,,38.1935,10
03larv0009,Gerridae,,,,23,77.5,3,2,,,liftnet,,,,21.9375,10
03larv0017,Gerridae,,,,41,17.4,3,2,,,liftnet,,,,38.435,10
03larv0018,Gerridae,,,,50,36.9,3,2,,,liftnet,,,,47.9225,10
03larv0019,Gerridae,,,,38,55.1,3,2,,,liftnet,,,,36.3775,10
03larv0052,Gerridae,,,,41,5.4,3,2,,,liftnet,,,,38.135,10
03larv0067,Gerridae,,,,38,88.5,3,2,,,liftnet,,,,37.2125,10
04larv0008,Gerridae,,,,29,9.94,3,2,,,liftnet,,,,26.02761111,10
04larv0012,Gerridae,,,,26,101.66,3,2,,,liftnet,,,,23.28238889,10
04larv0013,Gerridae,,,,29,15.13,3,2,,,liftnet,,,,26.04202778,10
04larv0014,Gerridae,,,,32,6.21,3,2,,,liftnet,,,,29.01725,10
04larv0018,Gerridae,,,,44,18.43,3,2,,,liftnet,,,,41.05119444,10
05LARV0054,Gerridae,,,?gerrid,31.5,2,4.5,2,2-Jul-05,,,2-Jul-05,7,,27.0037037,12.08213305
05LARV0055,Gerridae,,,?gerrid,31.5,5,4.5,2,2-Jul-05,,,2-Jul-05,7,,27.00925926,11.52946775
05LARV0056,Gerridae,,,?gerrid,31.5,50,4.5,2,2-Jul-05,,,2-Jul-05,7,,27.09259259,13.8082344
05LARV0196,Gerridae,,,,31.5,31,4.5,15,9-Jul-05,1030,,9-Jul-05,700,,27.05740741,
05LARV0197,Gerridae,,,,31.5,75,4.5,15,9-Jul-05,1030,,9-Jul-05,700,,27.13888889,
05LARV0216,Gerridae,,,,22.5,205,4.5,15,10-Jul-05,,,10-Jul-05,700,,18.37962963,
05LARV0217,Gerridae,,,,22.5,235,4.5,15,10-Jul-05,,,10-Jul-05,700,,18.43518519,
05LARV0235,Gerridae,,,,31.5,17,4.5,15,11-Jul-05,,,11-Jul-05,800,,27.03148148,
05LARV0239,Gerridae,,,,27,230,4.5,15,11-Jul-05,,,11-Jul-05,800,,22.92592593,
05LARV0225,Haemulidae,Haemulon,flavolineatum,,45,27,4.5,2,11-Jul-05,,cn1,11-Jul-05,800,,40.55,16.07952564
05LARV0324,Haemulidae,Haemulon,flavolineatum,,31.5,77,4.5,2,30-Jul-05,,cn2,,,,27.14259259,16.21138626
03larv0048,Holocentridae,Sargocentron,coruscum,,62.6,120,9,2,,,liftnet,,,,62.6,30
05LARV0105,Holocentridae,Sargocentron,coruscum,,73.5,18,10.5,2,6-Jul-05,900,lt,6-Jul-05,700,,63.01428571,
05LARV0156,Holocentridae,Sargocentron,coruscum,,101,120,10.5,2,8-Jul-05,845,lt,8-Jul-05,700,outswam chamber gts 63,90.5952381,42.37065734
03larv0011,Labridae,Thalassoma,bifasciatum,,12.2,89.5,3.6,2,,,liftnet,,,,11.285,12
04larv0009,Labridae,Doratonatus,megalepis,,26,85.39,3,2,,,liftnet,,,,23.23719444,8.5
04larv0010,Labridae,Doratonatus,megalepis,,38,10.91,3,2,,,liftnet,,,,35.03030556,8
04larv0017,Labridae,Doratonatus,megalepis,,53,56.63,3,2,,,liftnet,,,,50.15730556,8
05LARV0331,Labridae,Clepticus,parrae,,31.5,51,4.5,2,2-Aug-05,,reef,,,,27.09444444,17.20691132
05LARV0332,Labridae,Clepticus,parrae,,31.5,56,4.5,2,2-Aug-05,,reef,,,,27.1037037,17.27588121
05LARV0333,Labridae,Clepticus,parrae,,31.5,60,4.5,2,2-Aug-05,,reef,,,,27.11111111,14.3148688
05LARV0334,Labridae,Clepticus,parrae,,31.5,87,4.5,2,2-Aug-05,,reef,,,,27.16111111,17.39050838
05LARV0335,Labridae,Clepticus,parrae,,36,3,4.5,2,2-Aug-05,,reef,,,,31.50555556,16.93529412
05LARV0336,Labridae,Clepticus,parrae,,31.5,92,4.5,2,2-Aug-05,,reef,,,,27.17037037,18.15826929
04larv0005,Labridae,Xyrichtys,SpA,,30,43.77,5,2,,,liftnet,,,,25.07295,17
03larv0021,Labridae,,SpA,,17,32.3,3,2,,,liftnet,,,,14.8075,10
03larv0022,Labridae,,SpA,,11,10.1,3,2,,,liftnet,,,,8.2525,10
04larv0002,Labridae,,,,26.6,27.09,3.6,2,,,liftnet,,,,23.06270833,12
03larv0058,leptocephali,,,,27.5,50.9,7.5,2,,,liftnet,,,,23.18125,25
03larv0060,leptocephali,,,,12.5,10.1,7.5,2,,,liftnet,,,,5.63125,25
05LARV0155,Lutjanidae,Lutjanus,apodus,,45,83,7.5,2,7-Jul-05,1200,cn,7-Jul-05,700,,37.59222222,20.46139019
05LARV0123,Lutjanidae,Lutjanus,apodus,,37.5,50,7.5,2,6-Jul-05,1040,cn1,6-Jul-05,700,,30.05555556,22.28168329
05LARV0124,Lutjanidae,Lutjanus,apodus,,37.5,43,7.5,2,6-Jul-05,1100,cn1,6-Jul-05,700,,30.04777778,18.58099878
05LARV0127,Lutjanidae,Lutjanus,apodus,,45,15,7.5,2,6-Jul-05,1120,cn1,6-Jul-05,700,,37.51666667,21.2736579
05LARV0141,Lutjanidae,Lutjanus,apodus,,37.5,107,7.5,2,7-Jul-05,,cn1,7-Jul-05,700,,30.11888889,
05LARV0269,Lutjanidae,Lutjanus,apodus,,36,19,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,31.53518519,15.47883561
05LARV0288,Lutjanidae,Lutjanus,apodus,,37.5,29,4.5,2,24-Jul-05,,cn2,,,,33.0537037,22.00760242
05LARV0308,Lutjanidae,Lutjanus,apodus,,37.5,90,7.5,2,27-Jul-05,,cn2,,,,30.1,19.81467935
05LARV0309,Lutjanidae,Lutjanus,apodus,,37.5,45,7.5,2,27-Jul-05,,cn2,,,,30.05,15.66071429
05LARV0310,Lutjanidae,Lutjanus,apodus,,37.5,27,7.5,2,27-Jul-05,,cn2,,,,30.03,19.21994569
05LARV0319,Lutjanidae,Lutjanus,apodus,,37.5,30,7.5,2,27-Jul-05,,cn2,,,,30.03333333,19.19855596
05LARV0080,Lutjanidae,Lutjanus,apodus,,37.5,54,7.5,2,5-Jul-05,853,cn3,5-Jul-05,630,,30.06,26.98244331
05LARV0081,Lutjanidae,Lutjanus,apodus,,45,65,7.5,2,5-Jul-05,905,cn3,5-Jul-05,630,,37.57222222,25.54124022
05LARV0305,Lutjanidae,Lutjanus,apodus,,45,34,7.5,2,27-Jul-05,,cn4,,,,37.53777778,20.11926274
05LARV0306,Lutjanidae,Lutjanus,apodus,,37.5,91,7.5,2,27-Jul-05,,cn4,,,,30.10111111,18.93672077
05LARV0307,Lutjanidae,Lutjanus,apodus,,37.5,95,7.5,2,27-Jul-05,,cn4,,,,30.10555556,18.6455542
05LARV0129,Lutjanidae,Ocyurus,chrysurus,,37.5,92,7.5,2,6-Jul-05,1120,cn1,6-Jul-05,700,,30.10222222,21.12341432
05LARV0268,Lutjanidae,Ocyurus,chrysurus,,36,0,4.5,2,13-Jul-05,,cn1,13-Jul-05,600,,31.5,18.77513711
05LARV0121,Lutjanidae,Ocyurus,chrysurus,,37.5,71,7.5,2,6-Jul-05,1040,cn2,6-Jul-05,700,,30.07888889,24.68658537
